"OCCUPANCY_DATE","PROGRAM_MODEL","CAPACITY_TYPE","OCCUPANCY_RATE_ROOMS","OCCUPANCY_RATE_BEDS","month"
2023-01-28,"Transitional","Bed Based Capacity",NA,97.22,2023-01-01
2023-01-28,"Transitional","Bed Based Capacity",NA,96,2023-01-01
2023-01-28,"Emergency","Bed Based Capacity",NA,97.27,2023-01-01
2023-01-28,"Transitional","Room Based Capacity",100,NA,2023-01-01
2023-01-28,"Emergency","Bed Based Capacity",NA,98.95,2023-01-01
2023-01-28,"Emergency","Bed Based Capacity",NA,98.65,2023-01-01
2023-01-28,"Transitional","Bed Based Capacity",NA,82.35,2023-01-01
2023-01-28,"Emergency","Bed Based Capacity",NA,36.36,2023-01-01
2023-01-28,"Emergency","Room Based Capacity",85.71,NA,2023-01-01
2023-01-28,"Transitional","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-28,"Emergency","Bed Based Capacity",NA,92.59,2023-01-01
2023-01-28,"Transitional","Bed Based Capacity",NA,86.84,2023-01-01
2023-01-29,"Emergency","Room Based Capacity",100,NA,2023-01-01
2023-01-29,"Emergency","Bed Based Capacity",NA,100,2023-01-01
2023-01-29,"Emergency","Room Based Capacity",96.67,NA,2023-01-01
2023-01-29,"Emergency","Room Based Capacity",95.38,NA,2023-01-01
2023-01-29,"Emergency","Room Based Capacity",98.8,NA,2023-01-01
2023-01-29,"Transitional","Bed Based Capacity",NA,94.44,2023-01-01
2023-01-29,"Emergency","Room Based Capacity",70,NA,2023-01-01
2023-01-29,"Transitional","Bed Based Capacity",NA,94.29,2023-01-01
2023-01-29,"Emergency","Room Based Capacity",97.06,NA,2023-01-01
2023-01-29,"Transitional","Bed Based Capacity",NA,93.48,2023-01-01
2023-01-29,"Transitional","Bed Based Capacity",NA,100,2023-01-01
2023-01-29,"Transitional","Bed Based Capacity",NA,90,2023-01-01
2023-01-29,"Emergency","Room Based Capacity",89.06,NA,2023-01-01
2023-01-29,"Transitional","Bed Based Capacity",NA,50,2023-01-01
2023-01-29,"Emergency","Room Based Capacity",87.92,NA,2023-01-01
2023-01-29,"Emergency","Room Based Capacity",98.89,NA,2023-01-01
2023-01-29,"Emergency","Room Based Capacity",92.86,NA,2023-01-01
2023-01-29,"Transitional","Bed Based Capacity",NA,98,2023-01-01
2023-01-29,"Transitional","Bed Based Capacity",NA,80,2023-01-01
2023-01-29,"Transitional","Bed Based Capacity",NA,97.22,2023-01-01
2023-01-29,"Transitional","Bed Based Capacity",NA,96,2023-01-01
2023-01-29,"Emergency","Bed Based Capacity",NA,98.08,2023-01-01
2023-01-29,"Emergency","Bed Based Capacity",NA,99.09,2023-01-01
2023-01-29,"Transitional","Room Based Capacity",100,NA,2023-01-01
2023-01-29,"Emergency","Bed Based Capacity",NA,98.95,2023-01-01
2023-01-29,"Transitional","Bed Based Capacity",NA,88.24,2023-01-01
2023-01-29,"Emergency","Bed Based Capacity",NA,36.36,2023-01-01
2023-01-29,"Emergency","Room Based Capacity",85.71,NA,2023-01-01
2023-01-29,"Transitional","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-29,"Emergency","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-29,"Transitional","Bed Based Capacity",NA,86.84,2023-01-01
2023-01-30,"Emergency","Room Based Capacity",100,NA,2023-01-01
2023-01-30,"Emergency","Bed Based Capacity",NA,100,2023-01-01
2023-01-30,"Emergency","Room Based Capacity",96.67,NA,2023-01-01
2023-01-30,"Emergency","Room Based Capacity",93.85,NA,2023-01-01
2023-01-30,"Emergency","Room Based Capacity",98.8,NA,2023-01-01
2023-01-30,"Transitional","Bed Based Capacity",NA,94.44,2023-01-01
2023-01-30,"Emergency","Room Based Capacity",77.78,NA,2023-01-01
2023-01-30,"Transitional","Bed Based Capacity",NA,94.29,2023-01-01
2023-01-30,"Emergency","Room Based Capacity",97.06,NA,2023-01-01
2023-01-30,"Transitional","Bed Based Capacity",NA,95.65,2023-01-01
2023-01-30,"Transitional","Bed Based Capacity",NA,100,2023-01-01
2023-01-30,"Emergency","Bed Based Capacity",NA,98.61,2023-01-01
2023-01-30,"Emergency","Room Based Capacity",93.75,NA,2023-01-01
2023-01-30,"Transitional","Bed Based Capacity",NA,50,2023-01-01
2023-01-30,"Emergency","Room Based Capacity",87.92,NA,2023-01-01
2023-01-30,"Emergency","Room Based Capacity",98.89,NA,2023-01-01
2023-01-30,"Emergency","Bed Based Capacity",NA,90,2023-01-01
2023-01-30,"Transitional","Bed Based Capacity",NA,96,2023-01-01
2023-01-30,"Transitional","Bed Based Capacity",NA,80,2023-01-01
2023-01-30,"Transitional","Bed Based Capacity",NA,97.22,2023-01-01
2023-01-30,"Emergency","Bed Based Capacity",NA,99.09,2023-01-01
2023-01-30,"Transitional","Room Based Capacity",100,NA,2023-01-01
2023-01-30,"Transitional","Bed Based Capacity",NA,94.12,2023-01-01
2023-01-30,"Emergency","Bed Based Capacity",NA,36.36,2023-01-01
2023-01-30,"Emergency","Room Based Capacity",85.71,NA,2023-01-01
2023-01-30,"Transitional","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-30,"Emergency","Bed Based Capacity",NA,98.08,2023-01-01
2023-01-30,"Emergency","Bed Based Capacity",NA,97.62,2023-01-01
2023-01-30,"Emergency","Room Based Capacity",97.62,NA,2023-01-01
2023-01-30,"Emergency","Bed Based Capacity",NA,96,2023-01-01
2023-01-30,"Transitional","Bed Based Capacity",NA,89.47,2023-01-01
2023-01-31,"Emergency","Room Based Capacity",100,NA,2023-01-01
2023-01-31,"Emergency","Bed Based Capacity",NA,100,2023-01-01
2023-01-31,"Emergency","Room Based Capacity",96.55,NA,2023-01-01
2023-01-31,"Emergency","Room Based Capacity",93.85,NA,2023-01-01
2023-01-31,"Emergency","Room Based Capacity",98.8,NA,2023-01-01
2023-01-31,"Transitional","Bed Based Capacity",NA,94.44,2023-01-01
2023-01-31,"Emergency","Room Based Capacity",77.78,NA,2023-01-01
2023-01-31,"Transitional","Bed Based Capacity",NA,97.14,2023-01-01
2023-01-31,"Emergency","Room Based Capacity",97.06,NA,2023-01-01
2023-01-31,"Transitional","Bed Based Capacity",NA,93.48,2023-01-01
2023-01-31,"Emergency","Room Based Capacity",99.06,NA,2023-01-01
2023-01-31,"Emergency","Room Based Capacity",87.5,NA,2023-01-01
2023-01-31,"Transitional","Bed Based Capacity",NA,100,2023-01-01
2023-01-31,"Transitional","Bed Based Capacity",NA,95.45,2023-01-01
2023-01-31,"Emergency","Bed Based Capacity",NA,97.22,2023-01-01
2023-01-31,"Emergency","Room Based Capacity",92.19,NA,2023-01-01
2023-01-31,"Transitional","Bed Based Capacity",NA,50,2023-01-01
2023-01-31,"Emergency","Room Based Capacity",88.59,NA,2023-01-01
2023-01-31,"Emergency","Room Based Capacity",94.87,NA,2023-01-01
2023-01-31,"Emergency","Bed Based Capacity",NA,88,2023-01-01
2023-01-31,"Transitional","Bed Based Capacity",NA,96,2023-01-01
2023-01-31,"Transitional","Bed Based Capacity",NA,80,2023-01-01
2023-01-31,"Transitional","Bed Based Capacity",NA,97.22,2023-01-01
2023-01-31,"Transitional","Room Based Capacity",100,NA,2023-01-01
2023-01-31,"Transitional","Bed Based Capacity",NA,88.24,2023-01-01
2023-01-31,"Emergency","Bed Based Capacity",NA,36.36,2023-01-01
2023-01-31,"Transitional","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-31,"Emergency","Bed Based Capacity",NA,91.67,2023-01-01
2023-01-31,"Emergency","Bed Based Capacity",NA,95,2023-01-01
2023-01-31,"Transitional","Bed Based Capacity",NA,89.47,2023-01-01
2023-02-01,"Emergency","Room Based Capacity",100,NA,2023-02-01
2023-02-01,"Emergency","Bed Based Capacity",NA,87.5,2023-02-01
2023-02-01,"Emergency","Bed Based Capacity",NA,100,2023-02-01
2023-02-01,"Emergency","Room Based Capacity",93.75,NA,2023-02-01
2023-02-01,"Transitional","Bed Based Capacity",NA,94.44,2023-02-01
2023-02-01,"Emergency","Room Based Capacity",99.01,NA,2023-02-01
2023-02-01,"Emergency","Room Based Capacity",77.78,NA,2023-02-01
2023-02-01,"Transitional","Bed Based Capacity",NA,87.5,2023-02-01
2023-02-01,"Emergency","Room Based Capacity",95.59,NA,2023-02-01
2023-02-01,"Transitional","Bed Based Capacity",NA,100,2023-02-01
2023-02-01,"Emergency","Bed Based Capacity",NA,96.74,2023-02-01
2023-02-01,"Emergency","Room Based Capacity",100.93,NA,2023-02-01
2023-02-01,"Transitional","Bed Based Capacity",NA,95.45,2023-02-01
2023-02-01,"Emergency","Bed Based Capacity",NA,55.56,2023-02-01
2023-02-01,"Transitional","Bed Based Capacity",NA,50,2023-02-01
2023-02-01,"Emergency","Room Based Capacity",89.26,NA,2023-02-01
2023-02-01,"Emergency","Room Based Capacity",87.18,NA,2023-02-01
2023-02-01,"Emergency","Bed Based Capacity",NA,95,2023-02-01
2023-02-01,"Transitional","Bed Based Capacity",NA,96,2023-02-01
2023-02-01,"Emergency","Bed Based Capacity",NA,96,2023-02-01
2023-02-01,"Transitional","Bed Based Capacity",NA,80,2023-02-01
2023-02-01,"Transitional","Bed Based Capacity",NA,97.22,2023-02-01
2023-02-01,"Emergency","Room Based Capacity",99.63,NA,2023-02-01
2023-02-01,"Transitional","Bed Based Capacity",NA,92,2023-02-01
2023-02-01,"Emergency","Bed Based Capacity",NA,98.25,2023-02-01
2023-02-01,"Transitional","Room Based Capacity",100,NA,2023-02-01
2023-02-01,"Emergency","Bed Based Capacity",NA,98.65,2023-02-01
2023-02-01,"Transitional","Bed Based Capacity",NA,88.24,2023-02-01
2023-02-01,"Emergency","Bed Based Capacity",NA,45.45,2023-02-01
2023-02-01,"Emergency","Room Based Capacity",92.86,NA,2023-02-01
2023-02-01,"Transitional","Bed Based Capacity",NA,96.3,2023-02-01
2023-02-01,"Emergency","Bed Based Capacity",NA,95.45,2023-02-01
2023-02-01,"Emergency","Room Based Capacity",96.15,NA,2023-02-01
2023-02-01,"Emergency","Room Based Capacity",97.62,NA,2023-02-01
2023-02-01,"Transitional","Bed Based Capacity",NA,89.47,2023-02-01
2023-02-02,"Emergency","Room Based Capacity",100,NA,2023-02-01
2023-02-02,"Emergency","Bed Based Capacity",NA,100,2023-02-01
2023-02-02,"Emergency","Room Based Capacity",99.33,NA,2023-02-01
2023-02-02,"Emergency","Room Based Capacity",96.43,NA,2023-02-01
2023-02-02,"Emergency","Room Based Capacity",95.31,NA,2023-02-01
2023-02-02,"Transitional","Bed Based Capacity",NA,100,2023-02-01
2023-02-02,"Emergency","Room Based Capacity",99.03,NA,2023-02-01
2023-02-02,"Emergency","Room Based Capacity",77.78,NA,2023-02-01
2023-02-02,"Transitional","Bed Based Capacity",NA,94.59,2023-02-01
2023-02-02,"Emergency","Room Based Capacity",95.59,NA,2023-02-01
2023-02-02,"Emergency","Bed Based Capacity",NA,98.91,2023-02-01
2023-02-02,"Transitional","Bed Based Capacity",NA,95.45,2023-02-01
2023-02-02,"Emergency","Bed Based Capacity",NA,77.78,2023-02-01
2023-02-02,"Emergency","Room Based Capacity",93.75,NA,2023-02-01
2023-02-02,"Transitional","Bed Based Capacity",NA,50,2023-02-01
2023-02-02,"Emergency","Bed Based Capacity",NA,98.31,2023-02-01
2023-02-02,"Emergency","Room Based Capacity",88.59,NA,2023-02-01
2023-02-02,"Emergency","Room Based Capacity",84.62,NA,2023-02-01
2023-02-02,"Emergency","Bed Based Capacity",NA,96.67,2023-02-01
2023-02-02,"Transitional","Bed Based Capacity",NA,94,2023-02-01
2023-02-02,"Transitional","Bed Based Capacity",NA,80,2023-02-01
2023-02-02,"Transitional","Bed Based Capacity",NA,96,2023-02-01
2023-02-02,"Emergency","Bed Based Capacity",NA,98.08,2023-02-01
2023-02-02,"Emergency","Bed Based Capacity",NA,97.78,2023-02-01
2023-02-02,"Emergency","Bed Based Capacity",NA,98.21,2023-02-01
2023-02-02,"Emergency","Bed Based Capacity",NA,98.25,2023-02-01
2023-02-02,"Transitional","Room Based Capacity",100,NA,2023-02-01
2023-02-02,"Emergency","Bed Based Capacity",NA,95.92,2023-02-01
2023-02-02,"Transitional","Bed Based Capacity",NA,88.24,2023-02-01
2023-02-02,"Emergency","Bed Based Capacity",NA,45.45,2023-02-01
2023-02-02,"Emergency","Room Based Capacity",92.86,NA,2023-02-01
2023-02-02,"Transitional","Bed Based Capacity",NA,96.3,2023-02-01
2023-02-02,"Emergency","Bed Based Capacity",NA,98.44,2023-02-01
2023-02-02,"Emergency","Room Based Capacity",96.15,NA,2023-02-01
2023-02-02,"Transitional","Bed Based Capacity",NA,89.47,2023-02-01
2023-02-03,"Emergency","Room Based Capacity",98.65,NA,2023-02-01
2023-02-03,"Emergency","Room Based Capacity",100,NA,2023-02-01
2023-02-03,"Emergency","Bed Based Capacity",NA,100,2023-02-01
2023-02-03,"Emergency","Room Based Capacity",99.33,NA,2023-02-01
2023-02-03,"Emergency","Room Based Capacity",92.31,NA,2023-02-01
2023-02-03,"Emergency","Room Based Capacity",95.31,NA,2023-02-01
2023-02-03,"Transitional","Bed Based Capacity",NA,100,2023-02-01
2023-02-03,"Emergency","Room Based Capacity",77.78,NA,2023-02-01
2023-02-03,"Transitional","Bed Based Capacity",NA,94.59,2023-02-01
2023-02-03,"Emergency","Room Based Capacity",95.59,NA,2023-02-01
2023-02-03,"Emergency","Room Based Capacity",100.87,NA,2023-02-01
2023-02-03,"Emergency","Bed Based Capacity",NA,98.04,2023-02-01
2023-02-03,"Transitional","Bed Based Capacity",NA,95.45,2023-02-01
2023-02-03,"Emergency","Bed Based Capacity",NA,66.67,2023-02-01
2023-02-03,"Transitional","Bed Based Capacity",NA,96.67,2023-02-01
2023-02-03,"Transitional","Bed Based Capacity",NA,96.43,2023-02-01
2023-02-03,"Emergency","Bed Based Capacity",NA,98.31,2023-02-01
2023-02-03,"Emergency","Room Based Capacity",89.26,NA,2023-02-01
2023-02-03,"Emergency","Room Based Capacity",93.75,NA,2023-02-01
2023-02-03,"Emergency","Bed Based Capacity",NA,98.33,2023-02-01
2023-02-03,"Transitional","Bed Based Capacity",NA,94,2023-02-01
2023-02-03,"Emergency","Bed Based Capacity",NA,96,2023-02-01
2023-02-03,"Transitional","Bed Based Capacity",NA,80,2023-02-01
2023-02-03,"Transitional","Bed Based Capacity",NA,96,2023-02-01
2023-02-03,"Emergency","Bed Based Capacity",NA,98.08,2023-02-01
2023-02-03,"Emergency","Bed Based Capacity",NA,98.28,2023-02-01
2023-02-03,"Emergency","Bed Based Capacity",NA,99.11,2023-02-01
2023-02-03,"Transitional","Room Based Capacity",100,NA,2023-02-01
2023-02-03,"Emergency","Bed Based Capacity",NA,98.55,2023-02-01
2023-02-03,"Emergency","Bed Based Capacity",NA,99,2023-02-01
2023-02-03,"Transitional","Bed Based Capacity",NA,88.24,2023-02-01
2023-02-03,"Emergency","Bed Based Capacity",NA,45.45,2023-02-01
2023-02-03,"Emergency","Room Based Capacity",92.86,NA,2023-02-01
2023-02-03,"Transitional","Bed Based Capacity",NA,96.3,2023-02-01
2023-02-03,"Emergency","Bed Based Capacity",NA,96.3,2023-02-01
2023-02-03,"Transitional","Room Based Capacity",98.7,NA,2023-02-01
2023-02-03,"Emergency","Bed Based Capacity",NA,97.01,2023-02-01
2023-02-03,"Emergency","Room Based Capacity",97.62,NA,2023-02-01
2023-02-03,"Transitional","Bed Based Capacity",NA,89.47,2023-02-01
2023-02-04,"Emergency","Room Based Capacity",100,NA,2023-02-01
2023-02-04,"Emergency","Bed Based Capacity",NA,100,2023-02-01
2023-02-04,"Emergency","Room Based Capacity",99.32,NA,2023-02-01
2023-02-04,"Emergency","Bed Based Capacity",NA,96.67,2023-02-01
2023-02-04,"Emergency","Room Based Capacity",92.31,NA,2023-02-01
2023-02-04,"Emergency","Room Based Capacity",96.88,NA,2023-02-01
2023-02-04,"Emergency","Room Based Capacity",91.67,NA,2023-02-01
2023-02-04,"Emergency","Room Based Capacity",98.8,NA,2023-02-01
2023-02-04,"Transitional","Bed Based Capacity",NA,100,2023-02-01
2023-02-04,"Emergency","Room Based Capacity",99.03,NA,2023-02-01
2023-02-04,"Emergency","Room Based Capacity",77.78,NA,2023-02-01
2023-02-04,"Transitional","Bed Based Capacity",NA,68.63,2023-02-01
2023-02-04,"Emergency","Room Based Capacity",94.12,NA,2023-02-01
2023-02-04,"Emergency","Room Based Capacity",100.88,NA,2023-02-01
2023-02-04,"Emergency","Bed Based Capacity",NA,88.24,2023-02-01
2023-02-04,"Emergency","Bed Based Capacity",NA,98.04,2023-02-01
2023-02-04,"Transitional","Bed Based Capacity",NA,95.45,2023-02-01
2023-02-04,"Emergency","Bed Based Capacity",NA,66.67,2023-02-01
2023-02-04,"Emergency","Bed Based Capacity",NA,98.33,2023-02-01
2023-02-04,"Emergency","Bed Based Capacity",NA,97.18,2023-02-01
2023-02-04,"Transitional","Bed Based Capacity",NA,96.67,2023-02-01
2023-02-04,"Emergency","Room Based Capacity",95.31,NA,2023-02-01
2023-02-04,"Transitional","Bed Based Capacity",NA,96.43,2023-02-01
2023-02-04,"Emergency","Room Based Capacity",89.26,NA,2023-02-01
2023-02-04,"Emergency","Room Based Capacity",93.75,NA,2023-02-01
2023-02-04,"Transitional","Bed Based Capacity",NA,94,2023-02-01
2023-02-04,"Transitional","Bed Based Capacity",NA,80,2023-02-01
2023-02-04,"Transitional","Bed Based Capacity",NA,96,2023-02-01
2023-02-04,"Emergency","Bed Based Capacity",NA,95.54,2023-02-01
2023-02-04,"Transitional","Room Based Capacity",100,NA,2023-02-01
2023-02-04,"Emergency","Bed Based Capacity",NA,99,2023-02-01
2023-02-04,"Emergency","Bed Based Capacity",NA,98.65,2023-02-01
2023-02-04,"Transitional","Bed Based Capacity",NA,88.24,2023-02-01
2023-02-04,"Emergency","Bed Based Capacity",NA,45.45,2023-02-01
2023-02-04,"Emergency","Room Based Capacity",92.86,NA,2023-02-01
2023-02-04,"Transitional","Bed Based Capacity",NA,96.3,2023-02-01
2023-02-04,"Transitional","Room Based Capacity",98.7,NA,2023-02-01
2023-02-04,"Emergency","Bed Based Capacity",NA,98.48,2023-02-01
2023-02-04,"Emergency","Bed Based Capacity",NA,97.78,2023-02-01
2023-02-04,"Emergency","Room Based Capacity",97.62,NA,2023-02-01
2023-02-04,"Transitional","Bed Based Capacity",NA,89.47,2023-02-01
2023-02-05,"Emergency","Room Based Capacity",100,NA,2023-02-01
2023-02-05,"Emergency","Bed Based Capacity",NA,100,2023-02-01
2023-02-05,"Emergency","Room Based Capacity",99.32,NA,2023-02-01
2023-02-05,"Emergency","Room Based Capacity",92.31,NA,2023-02-01
2023-02-05,"Emergency","Room Based Capacity",98.44,NA,2023-02-01
2023-02-05,"Emergency","Room Based Capacity",91.67,NA,2023-02-01
2023-02-05,"Emergency","Room Based Capacity",96.39,NA,2023-02-01
2023-02-05,"Transitional","Bed Based Capacity",NA,100,2023-02-01
2023-02-05,"Emergency","Room Based Capacity",77.78,NA,2023-02-01
2023-02-05,"Transitional","Bed Based Capacity",NA,70.59,2023-02-01
2023-02-05,"Emergency","Room Based Capacity",92.65,NA,2023-02-01
2023-02-05,"Emergency","Room Based Capacity",100.87,NA,2023-02-01
2023-02-05,"Emergency","Room Based Capacity",90,NA,2023-02-01
2023-02-05,"Emergency","Bed Based Capacity",NA,94.12,2023-02-01
2023-02-05,"Emergency","Bed Based Capacity",NA,98.04,2023-02-01
2023-02-05,"Transitional","Bed Based Capacity",NA,95.45,2023-02-01
2023-02-05,"Emergency","Bed Based Capacity",NA,77.78,2023-02-01
2023-02-05,"Emergency","Bed Based Capacity",NA,97.18,2023-02-01
2023-02-05,"Transitional","Bed Based Capacity",NA,96.67,2023-02-01
2023-02-05,"Emergency","Room Based Capacity",95.31,NA,2023-02-01
2023-02-05,"Emergency","Bed Based Capacity",NA,98.7,2023-02-01
2023-02-05,"Transitional","Bed Based Capacity",NA,89.29,2023-02-01
2023-02-05,"Emergency","Bed Based Capacity",NA,96,2023-02-01
2023-02-05,"Emergency","Room Based Capacity",89.26,NA,2023-02-01
2023-02-05,"Emergency","Bed Based Capacity",NA,96.67,2023-02-01
2023-02-05,"Transitional","Bed Based Capacity",NA,96,2023-02-01
2023-02-05,"Transitional","Bed Based Capacity",NA,80,2023-02-01
2023-02-05,"Emergency","Bed Based Capacity",NA,96.55,2023-02-01
2023-02-05,"Transitional","Bed Based Capacity",NA,92,2023-02-01
2023-02-05,"Emergency","Bed Based Capacity",NA,99.11,2023-02-01
2023-02-05,"Transitional","Room Based Capacity",100,NA,2023-02-01
2023-02-05,"Transitional","Bed Based Capacity",NA,88.24,2023-02-01
2023-02-05,"Emergency","Bed Based Capacity",NA,45.45,2023-02-01
2023-02-05,"Emergency","Room Based Capacity",92.86,NA,2023-02-01
2023-02-05,"Transitional","Bed Based Capacity",NA,96.3,2023-02-01
2023-02-05,"Transitional","Room Based Capacity",98.7,NA,2023-02-01
2023-02-05,"Emergency","Bed Based Capacity",NA,98.48,2023-02-01
2023-02-05,"Emergency","Room Based Capacity",95.24,NA,2023-02-01
2023-02-05,"Transitional","Bed Based Capacity",NA,89.47,2023-02-01
2023-02-06,"Emergency","Room Based Capacity",100,NA,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,100,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,93.33,2023-02-01
2023-02-06,"Emergency","Room Based Capacity",98.44,NA,2023-02-01
2023-02-06,"Emergency","Room Based Capacity",91.67,NA,2023-02-01
2023-02-06,"Emergency","Room Based Capacity",96.34,NA,2023-02-01
2023-02-06,"Transitional","Bed Based Capacity",NA,100,2023-02-01
2023-02-06,"Emergency","Room Based Capacity",95.45,NA,2023-02-01
2023-02-06,"Emergency","Room Based Capacity",90,NA,2023-02-01
2023-02-06,"Emergency","Room Based Capacity",70,NA,2023-02-01
2023-02-06,"Transitional","Bed Based Capacity",NA,66.67,2023-02-01
2023-02-06,"Emergency","Room Based Capacity",94.12,NA,2023-02-01
2023-02-06,"Emergency","Room Based Capacity",100.87,NA,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,88.24,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,98.04,2023-02-01
2023-02-06,"Transitional","Bed Based Capacity",NA,95.45,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,98.57,2023-02-01
2023-02-06,"Transitional","Bed Based Capacity",NA,83.33,2023-02-01
2023-02-06,"Emergency","Room Based Capacity",92.19,NA,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,97.4,2023-02-01
2023-02-06,"Transitional","Bed Based Capacity",NA,89.29,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,96.61,2023-02-01
2023-02-06,"Emergency","Room Based Capacity",89.26,NA,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,85,2023-02-01
2023-02-06,"Transitional","Bed Based Capacity",NA,96,2023-02-01
2023-02-06,"Transitional","Bed Based Capacity",NA,80,2023-02-01
2023-02-06,"Transitional","Bed Based Capacity",NA,97.14,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,98.08,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,83.33,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,98.25,2023-02-01
2023-02-06,"Transitional","Room Based Capacity",100,NA,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,97.96,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,95.65,2023-02-01
2023-02-06,"Transitional","Bed Based Capacity",NA,88.24,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,45.45,2023-02-01
2023-02-06,"Emergency","Room Based Capacity",92.86,NA,2023-02-01
2023-02-06,"Transitional","Bed Based Capacity",NA,96.3,2023-02-01
2023-02-06,"Transitional","Room Based Capacity",97.4,NA,2023-02-01
2023-02-06,"Emergency","Room Based Capacity",95.24,NA,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,96.15,2023-02-01
2023-02-06,"Emergency","Bed Based Capacity",NA,96,2023-02-01
2023-02-06,"Transitional","Bed Based Capacity",NA,89.47,2023-02-01
2023-02-07,"Emergency","Room Based Capacity",100,NA,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,100,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,80,2023-02-01
2023-02-07,"Emergency","Room Based Capacity",98.44,NA,2023-02-01
2023-02-07,"Emergency","Room Based Capacity",91.67,NA,2023-02-01
2023-02-07,"Emergency","Room Based Capacity",96.34,NA,2023-02-01
2023-02-07,"Transitional","Bed Based Capacity",NA,100,2023-02-01
2023-02-07,"Emergency","Room Based Capacity",97.73,NA,2023-02-01
2023-02-07,"Emergency","Room Based Capacity",70,NA,2023-02-01
2023-02-07,"Transitional","Bed Based Capacity",NA,66.67,2023-02-01
2023-02-07,"Emergency","Room Based Capacity",95.59,NA,2023-02-01
2023-02-07,"Transitional","Bed Based Capacity",NA,95.65,2023-02-01
2023-02-07,"Emergency","Room Based Capacity",100.88,NA,2023-02-01
2023-02-07,"Emergency","Room Based Capacity",90,NA,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,93.33,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,96.08,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,88.89,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,98.57,2023-02-01
2023-02-07,"Transitional","Bed Based Capacity",NA,86.67,2023-02-01
2023-02-07,"Emergency","Room Based Capacity",90.63,NA,2023-02-01
2023-02-07,"Transitional","Bed Based Capacity",NA,89.29,2023-02-01
2023-02-07,"Emergency","Room Based Capacity",89.26,NA,2023-02-01
2023-02-07,"Emergency","Room Based Capacity",92.59,NA,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,88.24,2023-02-01
2023-02-07,"Transitional","Bed Based Capacity",NA,98,2023-02-01
2023-02-07,"Transitional","Bed Based Capacity",NA,80,2023-02-01
2023-02-07,"Transitional","Bed Based Capacity",NA,96,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,98.08,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,97.56,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,83.33,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,99.11,2023-02-01
2023-02-07,"Transitional","Room Based Capacity",100,NA,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,95.65,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,98,2023-02-01
2023-02-07,"Transitional","Bed Based Capacity",NA,88.24,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,45.45,2023-02-01
2023-02-07,"Emergency","Room Based Capacity",85.71,NA,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,96.43,2023-02-01
2023-02-07,"Transitional","Room Based Capacity",96.1,NA,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,91.67,2023-02-01
2023-02-07,"Emergency","Bed Based Capacity",NA,96,2023-02-01
2023-02-07,"Transitional","Bed Based Capacity",NA,89.47,2023-02-01
2023-02-08,"Emergency","Room Based Capacity",100,NA,2023-02-01
2023-02-08,"Emergency","Bed Based Capacity",NA,100,2023-02-01
2023-02-08,"Emergency","Room Based Capacity",98.44,NA,2023-02-01
2023-02-08,"Emergency","Room Based Capacity",83.33,NA,2023-02-01
2023-02-08,"Emergency","Room Based Capacity",97.53,NA,2023-02-01
2023-02-08,"Transitional","Bed Based Capacity",NA,100,2023-02-01
2023-02-08,"Emergency","Room Based Capacity",77.78,NA,2023-02-01
2023-02-08,"Transitional","Bed Based Capacity",NA,64.71,2023-02-01
